scheme,agency,description,image,link,who_is_it_for,what_it_gives,scheme_type,search_booster,phone,email,address,how_to_apply
Project Relate,Children's Society,"Project Relate is a Prison referred parenting and visit coaching programme for inmates, their children aged seven to 16 and the children’s caregivers. The programme aims to develop empathy and positive communication skills amongst the family members. Families (subject to Prison’s approval) would be able to experience an open visit within the prison walls upon completion of the programme.",https://chidnast.sirv.com/SchemesSG/childrenssociety.jpg,https://www.childrensociety.org.sg/Family-Services,Families of inmates,"Emotional care,Educational programmes for parents","Family,Incarcerated,Children,Caregiver,Education","father in jail, mother in jail, children with parents in jail, tuition, ex-offenders, incarcerated persons, family bonding during jail, inmate family, inmate children counselling",,,,
Project LADDER,Children's Society,"Project LADDER reaches out to families of inmates who may be struggling in isolation due to the stigma associated with the incarceration of their loved ones. A joint project with the Singapore Prison Service, Project LADDER allows children whose parents are incarcerated to maintain frequent contact through tele-visits from our premises. The sessions provide our social workers an in-road to engage the families, especially children, and assess if they are coping well with the situation.",https://chidnast.sirv.com/SchemesSG/childrenssociety.jpg,https://www.comlinktpy.com/programmesevents/children-youth/project-ladder,Families of inmates,Emotional care,"Family,Incarcerated,Children,Caregiver,Education","father in jail, mother in jail, children with parents in jail, tuition, ex-offenders, incarcerated persons, family bonding during jail, inmate family, inmate children counselling",,,,
Children's Medical Fund,Children's Society,"Working closely with medical social workers of restructured hospitals and agencies, we provide subsidies for treatments and rehabilitative care for chronically ill children. Beneficiaries would include infants, children and adolescents up to 19 years of age.",https://chidnast.sirv.com/SchemesSG/childrenssociety.jpg,https://www.childrensociety.org.sg/Family-Services,"Children,Youths,Low income,Elderly",Financial assistance for healthcare,"Children,Youth,Low Income,Palliative","childhood cancer need money, medical subsidy children, chronic illness, child hospital bill, child cancer treatment cost",,,,
Compulsory Education Casework,Children's Society,"Working exclusively with the Ministry of Education, Children’s Society counsels both children and parents on the importance of proper schooling and helps them with difficulties they face. Through the programme, we provide assistance to families who failed to register their child for school or send their child to school for the required six years. A child of ‘compulsory school age’, i.e. above the age of 6 and below 15, and is a Singapore citizen residing in Singapore, has to attend a national primary school, unless exempted.",https://chidnast.sirv.com/SchemesSG/childrenssociety.jpg,https://www.childrensociety.org.sg/Family-Services,Children,Education assistance,"Education,Low Income,Children","child havent go school, how to enrol in school, primary school registration, how to apply for school",,,,
Sunbeam Friends Club,Children's Society,"Sunbeam Friends Club was set up with the aim of bringing fun and joy to children and youth through healthy, creative and constructive activities. Staff and volunteers conduct varied indoor and outdoor interactive activities with children and youth.",https://chidnast.sirv.com/SchemesSG/childrenssociety.jpg,https://www.childrensociety.org.sg/contact,Children,Befriending services,Children,"children activities club, child enrichment, child wants to make friends",,,,
Tuition Programme - CDAC,Chinese Development Assistance Council (CDAC),Fully or partially subsidized group tuition for academically weak students from less well-to-do families. The classes are mainly conducted at schools and CDAC centres which are accessible and convenient for students. CDAC Tuition Programme is offered at 50 locations islandwide. Fees waived for children from families with income less than $2400 or $800 per capita,https://chidnast.sirv.com/SchemesSG/cdac.jpg,https://www.cdac.org.sg/developing-students/tuition-programme/,"Low income,Children,Youth","Tuition,Enrichment","Education,Low Income","tuition class, free tuition, enrichment class",,,,
CDAC-SFCCA Hardship Assistance Fund,"Chinese Development Assistance Council (CDAC), Singapore Federation of Chinese Clan Associations (SFCCA)",Short-term financial assistance to individuals who are facing financial hardship.,https://chidnast.sirv.com/SchemesSG/cdac-sfcca.jpg,https://www.cdac.org.sg/cdac-sfcca-bursary,"Low income,Facing financial hardship,Chinese community",Financial assistance,Low Income,"Need money for daily needs, low income, poor",,,,
Matthew 25 Soup Kitchen,Church of the Nativity,Free meals - Operates 6 days a week (excluding Sundays and Public holidays). All are welcome.,https://chidnast.sirv.com/SchemesSG/nativity.jpg,https://smcsaclafayette.org/matthew-25-soup-kitchen,Need food support,Food,Low Income,"Food, hungry, have not eaten, rations, Nothing to eat, famished, no money, no money to buy food, no money for daily needs",,,,
Various services,Clarity Singapore Limited,"Provides rehabilitation and emotional support for those aged 16 years and above struggling with mental health conditions such as anxiety, depression, stress, arising from bereavement and loss, relationship and other emotional issues to manage their mental health conditions.",https://chidnast.sirv.com/SchemesSG/clarity.jpg,https://www.clarity-singapore.org/services,"Struggling with loss,Need mental healthcare","Counselling,Emotional care",Mental Health,"counselling, psycho-therapy, mental health, depressed, depression, lock in room, sad",,,,
MENDAKI Tuition Scheme (MTS),"Collaboration between CDAC, MENDAKI, and SINDA",MTS aims to provide quality and affordable tuition to help students achieve better results in their school and national exams. It is open to all primary and secondary level Muslim students. MTS is aligned with MOE’s curriculum and provides additional developmental activities.,https://chidnast.sirv.com/SchemesSG/cdac-mendaki-sinda.jpg,https://www.mendaki.org.sg/programmes/mendaki-tuition-scheme-mts/,"Low income,Children",Tuition fee subsidy,"Education,Low Income","subsidy for tuition, low middle income",,,,
Mental Health Check,Community Health Assessment Team (CHAT),"Confidential mental health checks catered to young people aged between 16 to 30 (by birth year), who are currently living in Singapore.",https://chidnast.sirv.com/SchemesSG/chat.jpg,https://www.imh.com.sg/chat/Pages/default.aspx,"In need of mental healthcare,Young adults,Youths",Mental health assessment and referral,"Mental Health,Youth","anonymous, free mental health assessment, psychologist, psychiatrist, depression, schizophrenia, bipolar, OCD, ADHD",,,,
webCHAT,Community Health Assessment Team (CHAT),"CHAT provides webCHAT as an alternative platform for young people to get in the moment support for their emotional concerns. Mental health professionals are here to help young people gain better clarity of their situation, to get the support that they need.

 webCHAT operates from Tue to Sat, 1pm to 8pm (excluding Public Holidays).",https://chidnast.sirv.com/SchemesSG/chat.jpg,https://www.imh.com.sg/chat/Pages/default.aspx,"In need of mental healthcare,Young adults,Youths",Counselling,"Mental Health,Youth","mental health advice, mental illness, depression, schizophrenia, bipolar, anxiety",,,,
Compassion Fund,Compassion Fund Ltd,"Assist students whose families are in crisis, meaning the breadwinner inflicted by illness/met an accident that resulted in a loss of income, and/or death.",https://chidnast.sirv.com/SchemesSG/compassion.jpg,https://www.compassionfund.sg/for-schools/application-form2019/,Families who have just lost a breadwinner,Financial assistance for families who have lost breadwinner,"Low Income,Loss of Breadwinner","husband passed away, husband died, father passed away, father died, no more breadwinner, sole source of livelihood gone",,,,
Cornerstone Development Initiatives (CDI) Redeemed,Cornerstone Community Services,A transport allowance scheme (for 3 months) aims at helping ex-offenders integrate back into society as they embark on a new job upon release. This scheme is applicable to ex-offenders who have secured employment and application can only be made by their employer.,https://chidnast.sirv.com/SchemesSG/cornerstone.jpg,https://www.cornerstoneservices.org.sg/financial-aid,Ex-offenders,Transport allowance,Transport,"Ex offenders, ex convict, ex-convict, yellow ribbon, transport allowance",,,,
Cornerstone Development Initiatives (CDI) School Allowance,Cornerstone Community Services,A financial assistance scheme developed to give every child an opportunity to complete their foundational education despite their family circumstances. It is offered to Primary and Secondary students from low income families.,https://chidnast.sirv.com/SchemesSG/cornerstone.jpg,https://www.cornerstoneservices.org.sg/financial-aid,"Low income families,Children from low income families",Financial assistance for education,Education,"Bursary, school fee, pocket money, books",,,,
Food Care Programme,Cornerstone Community Services,Food Care Programme provides food and daily necessities to households with financial difficulties through our befriending volunteers,https://chidnast.sirv.com/SchemesSG/cornerstone.jpg,https://www.cornerstoneservices.org.sg/financial-aid,Need food support,"Food,Befriending","Low Income,Food","Need money to tide over difficulties, money for daily needs, food, hungry, have not eaten, poor, low income, rations",,,,
DOT Confidence Curriculum,Daughters of Tomorrow (DOT),"DOT’s Confidence Curriculum (DCC) is a series of workshops consisting of personal discovery, soft skills and communications, coaching and professional development modules designed to help women rediscover their talents and strengths while opening their minds to new and greater possibilities in life.",https://chidnast.sirv.com/SchemesSG/dot.jpg,https://daughtersoftomorrow.org/get-support/confidence-curriculum/,Women,Educational programmes,Education,"Women, empowerment, professional development, communications, growth, skills, development, talent, strengths, possibilities, woman, ladies, mothes, single, work oportunities",,,,
“Women in Action” Community Childminding Network,Daughters of Tomorrow (DOT),"Provide safe and trusted peer-to-peer childminding support in low-income neighbourhoods. A childminding network catering for after-childcare hours and contingency support to help low-income women access and hold jobs in the retail, hospitality, F&B and service sectors.",https://chidnast.sirv.com/SchemesSG/dot.jpg,https://www.teamlewis.com/asia/our-work/daughters-of-tomorrow/,Low income mothers,"Caregiving,Babysitting","Elderly,Family,Caregiver","support employment, babysitting, nanny, childcare",,,,
Financial Assistance,Dyslexia Association of Singapore (DAS),"Financial assistance for psychological assessments, literacy and special education for dyslexic children.",https://chidnast.sirv.com/SchemesSG/DAS.jpg,https://das.org.sg/services/financial-assistance/#bursary-for-ses-programmes,"Special needs children,Dyslexic children","Financial assistance for education,Educational programmes","Education,Special Needs","Special needs children, dyslexia, reading, learning difficulty",,,,
e2i - Employment and Employability Institute,e2i - Employment and Employability Institute,"e2i is the empowering network for workers and employers seeking employment and employability solutions. e2i serves as a bridge between workers and employers, connecting with workers to offer job security through job-matching, career guidance and skills upgrading services, and partnering employers to address their manpower needs through recruitment, training and job redesign solutions.",https://chidnast.sirv.com/SchemesSG/e2i.jpg,https://e2i.com.sg/,"Unemployed,Retrenched,In need of job",Employment assistance,Employment,"lost my job, need to find job, got retrenched, cannot find work, skills upgrading",,,,
Childcare & Infant Care Subsidy,Early Childhood Development Agency (ECDA),Subsidy to assist with defraying preschool expenses for Singaporean children,https://chidnast.sirv.com/SchemesSG/ecda.jpg,https://www.ecda.gov.sg/parents/subsidies-financial-assistance,Children,Financial assistance for education,"Caregiver,Childcare","Preschool, school fee, kindergarten, nursery, books",,,,
Kindergarten Fee Assistance Scheme (KiFAS),Early Childhood Development Agency (ECDA),Means-tested subsidy ranging $21 to $170 to assist with kindergarten fees for low- and middle-income families,https://chidnast.sirv.com/SchemesSG/ecda.jpg,https://www.ecda.gov.sg/parents/subsidies-financial-assistance,Children from low income families,Financial assistance for kindergarten fees,"Caregiver,Childcare","Kindergarten fees, preschool, need money for school fees, nursery",,,,
Kindergarten Fee Assistance Scheme (KiFAS) Start-Up Grant,Early Childhood Development Agency (ECDA),"Yearly grant provided to cover initial costs of enrolling the child in a kindergarten, such as the registration fee, deposit, school uniform, insurance, education material fee and supplementary fee.",https://chidnast.sirv.com/SchemesSG/ecda.jpg,https://www.ecda.gov.sg/parents/subsidies-financial-assistance,Children from low income families,Financial assistance for kindergarten fees,"Caregiver,Childcare","Kindergarten fees, preschool, need money for school fees, nursery, childcare",,,,
Eden School,Eden School,Eden School adopts a curriculum that aims to prepare students on the autism spectrum for their adult lives in the following domains: to be able to care for their own personal needs; to participate in routine social interactions in the community; to be able to transition between different activities and locations; to undertake meaningful vocational jobs consistent with their skills & abilities; to appropriately occupy their leisure time,https://chidnast.sirv.com/SchemesSG/eden.jpg,https://www.edenschool.edu.sg/,Autism spectrum,"Educational programmes,Vocational training","Family,Special Needs,Children","my kid is autistic, autism spectrum, learning disability",,,,
Counselling,En Community Services Society,"As part of the multi-disciplinary team, we aim to provide our clients (childen, youth and family) professional counselling and therapy who are facing personal, emotional, psychological, relationship and marital problems, monthly intervention sessions that are conducted individually with each client to find out their needs and progress in their self-development, giving them holistic care and optimising their personal and familial well-being.",https://chidnast.sirv.com/SchemesSG/ECSS.jpg,https://ecss.org.sg/services/counselling/,"Low income,Counselling support",Counselling,"Low income,Counselling support","Counselling - Children and Youth: Anxiety Problems, Relationship Building, School and Cyber Bullying, Self-esteem Building, Suicidal Ideation. Parents: Family Violence, Handling Youths-At-Risk, Managing Problem Behaviours, Managing School Refusal, Pre-marital and Marital Counselling, Separation and Divorce Counselling. Abusive Relationships, Addiction, Anxiety, Depression, and Stress, LGBTQ, Suicidal Ideation.",,,,
Financial Assistance Schemes & Food Vouchers,Eurasian Association Singapore,"Provides information and referrals to social welfare agencies and schemes available in Singapore and assists with employment, training and re-training. Also has its own financial assistance and food vouchers, as well as further help to settle one-off payments.",https://chidnast.sirv.com/SchemesSG/EAS.jpg,https://www.eurasians.sg/family-support/,Low income families,"Financial assistance for daily needs,Food vouchers","Low Income,Food","Need to know where to apply for financial assistance, poor, low income, need money to buy daily needs, food, hungry",,,,
FaithActs Bursary Award,FaithActs,"Provide financial assistance to students from low-income families to purchase educational materials, complement the MOE FAS, and motivate beneficiary of the award.",https://chidnast.sirv.com/SchemesSG/faithacts.jpg,https://www.faithacts.org.sg/services/community-care/bursary-awards,Children from low income families,Financial assistance for education,"Low Income,Education","School fees, students, buy books, bursary for primary scecondary school",,,,
Tuition,FaithActs,Free tuition to youth-at-risk,https://chidnast.sirv.com/SchemesSG/faithacts.jpg,https://www.faithacts.org.sg/services/children-and-youth/tuition,"Youth-at-risk,Children from low income families","Tuition,Educational programmes for youth-at-risk","Low Income,Education","Free tuition, need tuition, education, no money for school",,,,
eCounselling Centre (for youths),Fei Yue Community Services,"ec2.sg seeks to Empower youths to be resilient individuals where they can Connect with themselves and others, and to have the Courage to seek help and be engaged with the community. Kindly take note that our service operates from Monday to Friday, 9:30 a.m. to 5:30 p.m (excluding public holidays). Programmes are Crest Youth Fei Yue @ East (Crest Youth Fei Yue @ East is a community mental health programme for youths aged 12 to 25 that aims to promote early identification of mental health concerns. Through outreach events, working with parents and/peers and linking youths to appropriate health and social support networks, ec2.sg CREST is dedicated to supporting youth’s mental wellbeing; providing free and confidential mental health screening session for youths to talk about their mental health or emotional concerns.) and ReConnect (ReConnect is an online counselling service that supports youths (aged 12-25) who are facing challenges relating to their interpersonal relationships (e.g. relationship with their parents, friends, partners) and their sense of self).",https://chidnast.sirv.com/SchemesSG/feiyue.jpg,https://ec2.sg,"In need of mental healthcare,Youth","Counselling,Referral","Children,Youth","youth, children, teenagers, online counseling",,,,
Fei Yue Community Services,Fei Yue Community Services,"Fei Yue provides services including counselling, healthcare, training programs and community outreach for the very young to the elderly. Various community teams provide holistic services for clients with mental health needs, home care, including decluttering of homes, caregiver support and respite services, and advance care planning.",https://chidnast.sirv.com/SchemesSG/feiyue.jpg,https://www.fycs.org/,"Low income families,In need of mental healthcare,Caregivers,Elderly","Counselling,Mental health,Decluttering,Caregiver support","Low Income,Family,Elderly","Low income, need counselling, family service centre, caregiver needs respite, hoarding",,,,
Transnational Family Support Centre (Project Family),Fei Yue Community Services,"Project FAMILY works together with community partners and volunteers to serve these couples through provision of marital preparation programmes, as well as workshops and social activities to help connect and build social support for the couples. Together, Project FAMILY works towards incurring positive life transformation couples as they embark on their new marriage journey.",https://chidnast.sirv.com/SchemesSG/feiyue.jpg,https://fycs.org/family/,"Transnational families,Foreign spouse","Educational programmes,Emotional care,Befriending","Education, Family, Women, Children","no friends in singapore, new to singapore, new wife/husband, meet locals, integrate, adjust, bond, cross-cultural, make new friends, just married, prc, vietnam, myanmar, burmese, filipino, overseas, indian, young couple, adapt, cultural exchange, support group, socialize, social life",,,,
"Bursary and Scholarships Awards, Food Rations and Essential Items Distribution",Filos Community Services,"Bursaries and Scholarships not only help alleviate financial burdens of needy students, they also motivate them to work hard and achieve their goals. These awards are given out once a year to students who have shown improvement in their studies as a recognition for their hard work and achievements.

Filos has expanded our monthly bread distribution into Waves of Blessing (WOB), to include essential items and better help residents with their needs. Door-to-door distribution to the needy at Kembangan-Chai Chee takes place every first Saturday of the month. This programme also provides the volunteers the opportunity to befriend and engage with residents.

Every year during festive seasons, groceries and festive goodies are given out to needy families. It is a good opportunity for the community to share the festive joy and blessings with those in need.

Filos also works with many community partners and provides information and referral to other organisations, linking help and assistance to beneficiaries to help meet their needs.",https://chidnast.sirv.com/SchemesSG/filos.jpg,https://www.filos.sg/services-assistance,"Low income,Need food support,students,education,bursaries and scholarships","Food,Counselling","Low income,Need food support,students,education,bursaries and scholarships","Need to buy daily necessities, food, have not eaten, hungry, Need befriending, isolation",,,,
Food Assistance,Food From The Heart,"Food from the Heart reaches out to less-privileged individuals and families through a food distribution programe, distributing surplus bread and non-perishable food items. We also bring joy through the distribution of toys and birthday celebrations.",https://chidnast.sirv.com/SchemesSG/foodfromtheheart.jpg,https://www.foodfromtheheart.sg/faq/,"Low income,Need food support",Food,"Low Income,Food","Need money to tide over difficulties, money for daily needs, food, hungry, have not eaten, poor, low income, rations",,,,
Free Food For All,Free Food For All,"Free Food For All runs several programmes across a spectrum of communities in Singapore addressing food insecurity and food waste. At Free Food For All, we provide free meals that are nutritious and tasty to those in need and who qualify for one of our assistance programmes. For example, we deliver nutritious, healthy and halal Ready-To-Eat meals to the homes of various needy residents in Singapore. Beneficiaries include non-ambulant elderly with minimal family support. Vegetarian and non-vegetarian options included.",https://chidnast.sirv.com/SchemesSG/fffa.jpg,https://www.freefood.org.sg/what-we-do,"Need food support,low income families,rental families,homeless,elderly,injured migrant workers",Food,"Need food support,low income families,rental families,homeless,elderly,injured migrant workers","Have not eaten, hungry",,,,
Girls' Home,Gladiolus Place (formerly Andrew and Grace Home),"Gladiolus Place is a non-profit residential home dedicated to providing teenage girls a refuge and a place to call their home. Gladiolus Place reaches out to vulnerable youths in need of care and protection, and who are facing or at risk of abuse, neglect, delinquency and wayward behaviours, regardless of their race or religion.",https://chidnast.sirv.com/SchemesSG/gladiolus.jpg,https://gladiolusplace.org.sg/programmes/,"Youth-at-risk,Women,Homeless","Housing,Educational programme,Befriending,Counselling,Emotional care","Abuse,Women,Youth-at-Risk,Education","domestic abuse, abusive parents, need place to stay, violent father/mother, kick out of house, homeless teenager, homeless girl",,,,
"Various services (community kitchen, Active Ageing Centre, personalised care for seniors)",Goodlife!,"Network for people with dementia and depression, as well as caregivers who need the additional support to care for their loved ones. Provides appropriate mental health care and social support networks through outreach and education. A dedicated team of social workers assess the needs of the elderly and link senior citizens or caregivers to the relevant community resources. Care Closer to Home (CACHE) provides support and guidance for elderly aged 50 years old and above, diagnosed with one or more chronic illnesses. Elderly clients' health conditions are monitored on a regular basis and the clients are taught to manage their medication and wellbeing. Befriending services: regular home visits to seniors and caregivers who need assistance and support.",https://chidnast.sirv.com/SchemesSG/goodlife.jpg,https://montfortcare.org.sg/services/seniors/,"Elderly in need of mental healthcare,Dementia patients,Caregivers","Emotional care,Counselling,Befriending services","Mental Health,Elderly","healthcare, elderly, dementia, caregivers, befriending, elderly has dementia and needs counselling, chronic health problems elderly, elderly cannot cope with dementia, elderly is alone and depressed, old person depression, father depression, mother depression, isolated senior needs befriending and visit, caregiver cannot cope with caregiving needs",,,,
HCSA Dayspring SPIN,HCSA Community Services,"SPIN empowers single parents to make informed decisions and helps strengthen their social support network. Services include befrienders who will provide practical and socio-emotional support, respite services to allow members to schedule free time to attend to their errands while their children are taken care of by volunteers, and website portal to promote easy access to information and resources.

You will also have a co-created individualised care plan to address your needs, access to workshops and events designed to achieve specific outcomes in your care plans, such as social and therapeutic support and acquisition of skills and knowledge, and counselling, should you be assessed to be in high need for emotional and mental health support.",https://chidnast.sirv.com/SchemesSG/hcsa.jpg,https://www.hcsaspin.sg/services/,Single parents,"Emotional care,Childcare,Befriender services","Women,Single Parents","single parent, pregnant teen, teenage girl, care for baby",,,,
HCSA Dayspring Residential Treatment Centre,HCSA Community Services,"Therapeutic Group Home service model for teenage girls who have suffered the complex trauma of physical, sexual or emotional abuse. The model consists of two evidence-based practices namely Trauma Systems Therapy (TST) and Residential Management System (RMS). Our residential care is designed to be like a family, and each resident will be matched with a care team upon admission, comprising a clinical psychologist, a case worker and youth mentor. Our residents have regular counselling sessions to help them develop an individualised treatment plan, and their parents or guardians also have mandatory family sessions to meet family treatment goals.",https://chidnast.sirv.com/SchemesSG/hcsa.jpg,https://hcsa.org.sg/programmes/hcsa-dayspring/,"Teenage girls,trauma,residential care","Educational programmes,Emotional care","Youth-at-Risk,Women,Single Parents","home for girls, teenage girls, abuse, family violence, place to stay",,,,
HCSA Highpoint,HCSA Community Services,"Provide a safe and substance free place for homeless male ex-offenders, newly released prisoners and those in recovery from addiction, to restart their lives. Through a transitional living programme, HCSA empowers residents to attain more permanent housing, gainful employment and financial independence, so as to live a productive addiction free life, and successfully reintegrate into society. After residents leave the halfway house, they participate in an aftercare programme consisting of a 6-month follow up with casework, home visits, and work visits upon discharge from Highpoint.",https://chidnast.sirv.com/SchemesSG/hcsa.jpg,https://hcsa.org.sg/programmes/hcsa-highpoint/,"Ex-offenders,homeless,transitional living","Casework,Counselling,Employment assistance,Housing,Vocational training",Ex-offender,"ex-convict halfway house, need job, hire ex-convict, need housing, ex-prisoner, ex-offender, ex-criminal need job and housing",,,,
"Medical & Dental Services,
Mental Health & Counselling Services, Casework & Social Services and Community Services",Healthserve,"Through our medical clinics, casework, social assistance, advocacy, research and outreach programmes, we are working to address the complex and intertwined needs of migrant workers – from medical to legal, physical to emotional, mental to social.",https://chidnast.sirv.com/SchemesSG/healthserve.jpg,https://healthserve.org.sg/medical-dental-services/,Migrant workers/foreign workers,"Food,Financial assistance for daily needs,Educational programmes,Transport subsidy,Casework,Counselling,Healthcare,Mental health/mental health support","Migrant workers/foreign workers,Low Income,Work","workplace accident, injured at work, employer abuse, migrant support group, no friends in singapore, bangladesh, india, myanmar, china, prc, malaysia, msia, burmese, maid, construction worker, cleaner, employer abuse, no salary, no pay, worker sick, depression, hospital, free clinic, subsidized clinic, retrenched, lost job, filipino, indonesia, unemployed, fired, unlawful, illegal, work not safe, boss abuse",,,,
Henderson Aged Reachout Programme (HARP),Henderson Aged Reachout Programme (HARP),"We conduct activities for senior citizens living around Bukit Merah area every Wednesday night and provide cheap meals and food for needy elderly on Saturdays. Donate masks and food to the elderly, and does some decluttering services.",https://chidnast.sirv.com/SchemesSG/harp.jpg,https://www.facebook.com/HarpHendersonAgedReachoutProgramme/,"Elderly,Low income","Decluttering,Befriending,Food,Activities for elderly","Elderly,Low Income","elderly living alone in bukit merah, elderly bored, poor elderly need food, old man old woman hoarding in house, old need help with cleaning house",,,,
Migrants Helpline,Here With You,"Our trained casework volunteers work collaboratively with migrant peer supporters to provide psychological first aid and casework management for migrant workers in distress. Leveraging on lived experience, our peer supporters offer an empathetic and empowering environment for migrants seeking assistance. Working in intercultural collaborative teams helps us build rapport effectively, understand the problems migrants face and journey with them in their struggles.",https://chidnast.sirv.com/SchemesSG/home.jpg,https://www.herewithyou.org.sg/helpline,"Migrant workers,foreign workers","Counselling,Referral,Emotional care,COVID-19 support","COVID-19,Migrant workers,foreign workers, Mental health","no friends in singapore, lonely, workplace accident, injured at work, employer abuse, migrant support group, no friends in singapore, bangladesh, india, myanmar, china, prc, malaysia, msia, burmese, maid, construction worker, cleaner, employer abuse, no salary, no pay, worker sick, depression, hospital, free clinic, subsidized clinic, retrenched, lost job, filipino, indonesia, unemployed, fired, unlawful illegal, deport, lawyer, self harm, cutting, Covid-19, boss abuse",,,,
Deferred Downpayment Scheme (DDS),Housing and Development Board (HDB),"The Deferred Downpayment Scheme (DDS) enables elderly who are right-sizing to defer the payment of downpayment until key collection. This will help to ease the cash flow for elderly flat owners whose funds are tied up in their existing flat, and smoothen the right-sizing process.",https://chidnast.sirv.com/SchemesSG/hdb.jpg,https://www.hdb.gov.sg/residential/buying-a-flat/buying-procedure-for-new-flats/sign-agreement-for-lease,In need of mortgage support,Mortgage assistance,Housing,"Downsizing, reverse mortage",,,,
Enhancement for Active Seniors (EASE),Housing and Development Board (HDB),The Enhancement for Active Seniors (EASE) programme subsidises items installed in your flat to improve mobility and safety within the flat. It is offered as part of the Home Improvement Programme (HIP).,https://chidnast.sirv.com/SchemesSG/hdb.jpg,https://www.hdb.gov.sg/residential/living-in-an-hdb-flat/for-our-seniors/ease,Elderly,Retrofitting of flats to improve mobility for elderly,"Housing,Elderly","Grab bars, non ambulant elderly, non slip floor tiles, retrofitting, safer for old people, fall proofing",,,,
Financial Assistance Measures,Housing and Development Board (HDB),"As a safety net, we have Financial Assistance Measures (FAM) in place for flat owners who face difficulties paying the monthly instalments of their HDB housing loan. Measures include:
(i) Paying the housing loan arrears by instalments within a reasonable period.
(ii) Lowering the monthly instalment amount by extending the housing loan term up to the maximum repayment period, subject to your eligibility and the 65-year-old age ceiling.
(iii) Deferring or reducing monthly loan instalments for 6 months. This is to help flat owners facing short term difficulties in servicing their loan instalments.
(iv) Inclusion of working family members as joint owners to help pay for the flat loan instalment / arrears.",https://chidnast.sirv.com/SchemesSG/hdb.jpg,https://www.hdb.gov.sg/residential/servicing-your-hdb-housing-loan/loan-matters/financial-assistance-measures,"Low income families,In need of mortage support",Mortgage assistance,Housing,"Cannot afford mortgage, difficulty paying for flat, cannot afford housing downpayment, retrenched, homeowner",,,,
Fresh Start Housing Scheme,Housing and Development Board (HDB),"The Fresh Start Housing Scheme (Fresh Start) aims to help second-timer families with young children, who are currently living in public rental flats, to own their next homes. By integrating financial assistance for housing with personal responsibility and social support, the scheme lets families purchase a 2-room Flexi or 3-room flat on a shorter lease.",https://chidnast.sirv.com/SchemesSG/hdb.jpg,https://www.hdb.gov.sg/residential/buying-a-flat/buying-procedure-for-new-flats/application/fresh-start-housing-scheme,Low income families,"Financial assistance,Housing assistance",Housing,"Need money to tide over difficulties, money for daily needs, family and children, HDB, poor",,,,
Lease Buyback Scheme,Housing and Development Board (HDB),"Through the Lease Buyback Scheme (LBS), you will be able to monetise your flat to receive a stream of income in your retirement years, while continuing to live in it.",https://chidnast.sirv.com/SchemesSG/hdb.jpg,https://www.hdb.gov.sg/residential/living-in-an-hdb-flat/for-our-seniors/monetising-your-flat-for-retirement/lease-buyback-scheme,Elderly,Monetising flat for retirement income,Housing,"Retirement, reverse mortgage, old age, money for retirement, money for old age",,,,
Public Rental Scheme,Housing and Development Board (HDB),"Flats under the Public Rental Scheme are heavily subsidised to cater to Singapore Citizen (SC) households who have no other housing options. As the number of rental flats under this scheme is limited, you must fulfil certain eligibility criteria to apply for a rental flat.",https://chidnast.sirv.com/SchemesSG/hdb.jpg,https://www.hdb.gov.sg/cs/infoweb/residential/renting-a-flat/renting-from-hdb/public-rental-scheme,"Low income,Need shelter","Shelter,Heavily subsidised housing",Housing,"No money to pay for housing, shelter, homeless, mortgage",,,,
Silver Housing Bonus,Housing and Development Board (HDB),"If you are selling your current flat or private housing with Annual Value not exceeding $13,000 and buying a 3-room or smaller flat, you can supplement your retirement income through the Silver Housing Bonus (SHB) scheme.Up to $30,000 cash bonus when you top-up your proceeds into your CPF Retirement Account (RA), and join CPF LIFE.",https://chidnast.sirv.com/SchemesSG/hdb.jpg,https://www.hdb.gov.sg/residential/living-in-an-hdb-flat/for-our-seniors/monetising-your-flat-for-retirement/silver-housing-bonus,Elderly,Monetising flat for retirement income,"Housing,Elderly","Retirement, reverse mortgage, old age",,,,
Staggered Downpayment Scheme,Housing and Development Board (HDB),"You may be able to use the Staggered Downpayment Scheme to pay your downpayment in 2 instalments. Half of the downpayment is paid when you sign the Agreement for Lease, which is usually within 4 months of booking a flat. The remaining amount is paid during the key collection for your new flat.",https://chidnast.sirv.com/SchemesSG/hdb.jpg,https://www.hdb.gov.sg/residential/buying-a-flat/buying-procedure-for-new-flats/sign-agreement-for-lease,In need of mortgage support,Mortgage assistance,Housing,"Mortgage, cannot afford house, debt",,,,
Temporary Loan Scheme,Housing and Development Board (HDB),"The Temporary Loan Scheme (TLS) helps flat buyers who intend to use the sale proceeds from their existing flat to pay for their new flat, without taking a long-term mortgage loan.",https://chidnast.sirv.com/SchemesSG/hdb.jpg,https://www.hdb.gov.sg/residential/buying-a-flat/buying-procedure-for-new-flats/key-collection,In need of mortgage support,Mortgage assistance,Housing,"Mortgage, cannot afford house, debt",,,,
