Scheme,Agency,Description,Image,Link,Who's it for,What it gives,Scheme Type,search_booster,phone,email,address,How to apply
Home Ownership Plus Education (HOPE) Scheme,REACH Community Services,"Assistance for young, low-income parent(s) who choose to keep their family small so that they can focus their resources on giving their children a head start, and improve their financial and social situation. Includes grants and support for training, employment, utilities, housing, bursaries, mentoring and family support",https://chidnast.sirv.com/SchemesSG/msf.jpg,https://reach.org.sg/services/counselling-service/hope-scheme/,Low income families,"Financial assistance for daily expenses,Financial assistance for education,Employment assistance","Family,Low Income,Education,Housing","Family planning, low income, no money for food, daily needs, big family",,,,
Child Care Financial Assistance (CCFA),Ministry of Social and Family Development (MSF),Low-income families with difficult family circumstances can apply for further financial assistance if they are unable to afford the Child Care fees over and above the Basic and Additional Subsidies. They can also apply for a one-time Start-Up Grant to cover the initial start-up costs of enrolling a child in the centre.,https://chidnast.sirv.com/SchemesSG/msf.jpg,https://www.ecda.gov.sg/parents/subsidies-financial-assistance#CCICS,Low income families,Subsidised child care,"Low income,Family","Need money for daily needs, low income, poor, need money to pay for childcare",,,,
National Anti-Violence & Sexual Harrassment Helpline (NAVH),Ministry of Social and Family Development (MSF),"24/7 hotline for persons to seek information, support and referral on issues of family violence.",https://chidnast.sirv.com/SchemesSG/MSF.jpg,https://www.msf.gov.sg/breakthesilence,"Families,Children,Women,Youth","Information and referral,Victim support,Counselling,Emotional care",Family,"domestic violence, child abuse, elder abuse, spousal violence, PPO, safety issues, counselling, hotline, help against abuse",,,,
Medical Fee Exemption Card (MFEC),"Ministry of Social and Family Development (MSF), Ministry of Health (MOH), Agency for Integrated Care (AIC)","Your loved one can be covered for standard medical and hospitalisation treatment at government or restructured hospitals, polyclinics and approved intermediate and long-term care services if they are sick and need financial assistance, using the Medical Fee Exemption Card.",https://chidnast.sirv.com/SchemesSG/moh%20msf%20aic.jpg,https://www.aic.sg/financial-assistance/medical-fee-exemption-card-mfec/,"Elderly,Need ILTC services",Exemption from medical fee for certain healthcare services,"Healthcare,Low Income,Family,Caregiver","Poor, no money to see doctor, healthcare subsidy, can't afford medical fees",,,,
Grief Matters,Montfort Care,"We offer personalised support to those living with a terminal illness and their caregivers who have lost their loved ones through death. Our services are provided at no cost to individuals and families of all ages, ethnicity and religions. Our team of social workers and counsellors offer centre-based sessions, as well as home visitations to support your needs. Our services include:
 1) Advance Care Planning (ACP), 2) Psychosocial and spiritual support, 3) Support to caregivers, 4) Grief counselling, 5) Advice on practical and financial matters relating to estate planning and funeral arrangements, 6) Link-up to healthcare and community resources, 7) Training and education to promote future care planning and grief literacy within the community",https://timinone.sirv.com/Shared/SchemesSG-from-chidnast/griefmatters.jpg,https://www.hcsaspin.sg/lone-caregiver-widowed/help-support/,"People with terminal illness,People who lost loved ones,Caregiver,Family","Emotional care,Mental health/mental heath support,Counselling,Referral","Mental health,Caregiver,Elderly,Family,Low Income,Loss of Breadwinner,Palliative","will writing, end of life care, dying, bereavement, funeral, palliative, cope with loss, sudden death, accident, cancer, diagnosed, death, died, family died",,,,
Mount Alvernia Outreach Medical & Dental Clinics,Mount Alvernia,"For the vulnerable and marginalised who have fallen through the cracks of the conventional safety net, the outreach clinics aim to provide heavily subsidised primary healthcare and dental services to create a healthier community and a positive health impact.
 Medical Clinic @ Enabling Village
 20 Lengkok Bahru #02-03 Enabling Village Singapore 159053
 Tel: +65 6473 5100
 Operating Hours:
 Mon & Fri: 9am to 1pm | 2pm to 6pm
 Tue, Wed & Thu: 12pm to 4pm | 5pm to 8pm Dental Clinic* @ Enabling Village
 20 Lengkok Bahru #02-03 Enabling Village Singapore 159053
 Tel: +65 6473 9100
 Operating Hours:
 Mon to Fri: 9.30am to 1pm | 2pm to 5.30pm
 *appointments are required Medical Clinic @ Agape Village
 7A Lorong 8 Toa Payoh #02-07 Agape Village Singapore 319264
 Tel: +65 6262 4312
 Operating Hours:
 Every first Thu of the month (except PH): 6.30pm to 8.30pm Dental Clinic* @ Agape Village
 7A Lorong 8 Toa Payoh #02-07 Agape Village Singapore 319264
 Tel: +65 6262 4313
 Operating Hours:
 Mon to Fri: 9.30am to 1pm | 2pm to 5.30pm
 *appointments are required",https://chidnast.sirv.com/SchemesSG/mountalvernia.jpg,https://mtalvernia.sg/about-us/community-outreach/,Low income families,"Basic healthcare services,Dental services","Healthcare,Dental","No money to see doctor, no money to see dentist, free healthcare",,,,
MINDS,Movement for the Intellectually Disabled of Singapore (MINDS),"MINDS seeks to empower individuals with special needs through social enterprise programmes, advocacy, caregiver respite, therapy, befriending services for social integration, supported employment, home care, decluttering, training and development.",https://chidnast.sirv.com/SchemesSG/minds.jpg,https://www.minds.org.sg/,"Therapy,Befriending,Employment assistance,Decluttering","Intellectually disabled,Special needs",Special Needs,"child is intellectually disabled, child has special needs, leaning disability",,,,
Transport Subsidy and Assistive Device & Equipment Subsidy,Muscular Dystrophy Association of Singapore (MDAS),"Through the Transport Subsidy Scheme, members are provided up to 100% subsidy on a case-by-case basis. This ensures that our school-going children remain in school and continue to seek regular medical consultation despite the high transport cost.

Under our Assistive Device & Equipment Subsidy, members with muscular dystrophy were provided with subsidies for the purchase of life-saving medical equipment. This enables them to enjoy a better quality of life and to live with dignity. We also prioritise the need of providing functional motorized wheelchairs for members as this is the first step to overcoming isolation and to come out into the community to have fulfilling interaction and learning.",https://chidnast.sirv.com/SchemesSG/mdas.jpg,https://www.mdas.org.sg/service,"Special needs children,Critical medical needs",Financial assistance for medical equipment,"Special Needs,Transport","For muscular dystrophy, special needs, medical equipment, subsidy assistive device, wheelchair",,,,
Care & Compassion (Financial Aid),Muslim Kidney Action Association,"Our Care & Compassion Programme has three components to it, namely our monthly disbursement ceremony, walk-in assistance and monthly free health consultation.",https://chidnast.sirv.com/SchemesSG/mkac.jpg,https://www.mkac.sg/care-compassion/,Kidney patients,Financial assistance for dialysis,"PWD,Transport",Kidney,,,,
Financial Assistance,Muslimin Trust Fund Association,MTFA provides cash assistance given on a bi-monthly basis as well as Fidyah groceries voucher for selected families.,https://chidnast.sirv.com/SchemesSG/mtfa.jpg,https://www.mtfa.org/financial-assistance,Low income families,"Financial assistance for daily living,Food","Low Income,Food","Hungry, have not eaten, food",,,,
Subsidised Dialysis Treatments,Muslimin Trust Fund Association,Ihsan Kidney Care provides subsidised dialysis treatments for lower-income patients.,https://chidnast.sirv.com/SchemesSG/mtfa.jpg,https://www.mtfa.org/ikcfundraising,Low income families,"Financial assistance for daily living,Food","Dialysis treatment,healthcare","Need dialysis treatment,healthcare subsidies",,,,
National Addictions Management Service (NAMS),National Addictions Management Service (NAMS),"(1) Assessment and treatment of addictions;
 (2) Individual, group and family therapy;
 (3) Psycho-education group on gambling
 All Addictions Hotline 6-RECOVER (6-7326837)
 Gambling Helpline 1800-6-668-668",https://chidnast.sirv.com/SchemesSG/nams.jpg,https://www.nams.sg/Pages/default.aspx,Addictions,Addictions assessment and treatment,"Addictions,Counselling","addicts, addictions, gambling, alcoholics",,,,
U Care Hardship Grant,National Trades Union Congress (NTUC),"This scheme aims to give assistance to union members or their next-of-kin when the sole or main breadwinner dies, becomes permanently incapacitated or suffers from serious chronic illness of non-industrial nature. A registered fire or flood victim who is a member is also eligible for the grant.",https://chidnast.sirv.com/SchemesSG/ntuc.jpg,https://www.ntuc.org.sg/uportal/news/U-Care-Hardship-Grant/,Families who have just lost a breadwinner,Financial assistance,"Loss of Breadwinner,Low Income","Loss of breadwinner, loss of income earner, father die, mother die, father passed away, mother passed away, accident",,,,
Residential Rehabilitation Programme,New Charis Mission (TNCM),"Provides recuperation, restoration, reconciliation and reintegration avenues for newly released ex-offenders as well as those who are admitted through walk-in. Here, they learn how to rebuild their lives and families, and then contribute back to society. During the course of the Residential Programme, befriending, discipleship, individual counselling and psychoeducation is ongoing. Psychoeducation includes talks on Social Etiquette, Budgeting, Parenting, etc.",https://chidnast.sirv.com/SchemesSG/ncm.jpg,https://thenewcharismission.org.sg/residential-rehabilitation-programme/,Ex-offenders,"Casework,Counselling,Emotional care,Housing,Mentoring",Ex-offender,"halfway house, ex-convict need housing, ex-convict social program, ex-prisoner",,,,
Job Support and Retention Programme,New Hope Community Services,The Job Support and Retention Programme acts as a bridge between employers and our beneficiaries. The programme provides job-matching and skills-training services and also actively conducts outreach initiatives for potential employer partners.,https://chidnast.sirv.com/SchemesSG/nhcs.jpg,https://www.newhopecs.org.sg/sbff-job-support-retention-prog,"Job support and retention,employment,homeless,low income",Employment support,"Job support and retention,employment,homeless,low income","Homeless, no place to stay, no roof over head, no accommodation",,,,
Transit Point @ Spooner,New Hope Community Services,Transit Point @ 1 Spooner (TP@1SR) is a transitional shelter that provides temporary accommodation and social work intervention to displaced individuals who have exhausted all other means of accommodation. Residents work with our social work professionals to address their needs and develop intervention plans towards achieving long-term and stable housing.,https://chidnast.sirv.com/SchemesSG/nhcs.jpg,https://www.newhopecs.org.sg/tp-spooner1,Ex-offenders,Shelter,"Homeless,Ex-offender","Ex offenders, ex convict, ex-convict, homeless, no place to stay, no roof over head, no accommodation",,,,
Transit Point @ Jalan Kukoh,New Hope Community Services,Transit Point @ Jalan Kukoh (TP@JK) is a transitional shelter that provides temporary accommodation and social work intervention to displaced families and individuals who have exhausted all other means of accommodation. Residents work with our social work professionals to address their needs and develop intervention plans towards achieving long-term and stable housing.,https://chidnast.sirv.com/SchemesSG/nhcs.jpg,https://www.newhopecs.org.sg/tp-jk,"Need shelter,displaced families and individuals",Shelter,"Need shelter,displaced families and individuals",,,,,
Transit Point @ Margaret Drive,New Hope Community Services,"Transit Point @ Margaret Drive (TP@MD) is a low-barrier-to-entry, community-based interim shelter primarily for rough sleepers with complex housing needs. Our team at the shelter works with residents to facilitate their long-term housing goals, empower them with the requisite skills for self-reliance and connect them to relevant social resources to meet their holistic needs.",https://chidnast.sirv.com/SchemesSG/nhcs.jpg,https://www.newhopecs.org.sg/tp-md,Need shelter,Shelter,Homeless,"Homeless, no place to stay, no roof over head, no accommodation",,,,
WeCare @ North East Fund,North East CDC,"The We Care @ North East Fund aims to help needy families who require interim financial support, but do not meet the national gross household income criteria. The scheme provides assistance in the form of once-off or up to three months of cash assistance.",https://chidnast.sirv.com/SchemesSG/necdc.jpg,https://northeast.cdc.gov.sg/programmes/financial-and-social-assistance/wecare-at-north-east/,North East Resident,Financial assistance,"Family,Children,Low Income","Financial assistance, poor, low income, need money to buy daily needs, food, hungry, Malay Muslim",,,,
North East Growth Fund,North East CDC,"The North East Growth Fund was set up to provide formula milk and diapers to young children up to 6 years old. By defraying the costs of these essentials, the wellbeing and good health of our little ones are not compromised.",https://chidnast.sirv.com/SchemesSG/necdc.jpg,https://northeast.cdc.gov.sg/programmes/financial-and-social-assistance/north-east-growth-fund/,"Low income,Children",Vouchers for purchase of milk and diapers,"Children,Low Income","milk, diapers, baby, children",,,,
Family services,NuLife Care & Counselling Services,"Casework management and counselling including pre-marital counselling, marriage counselling, couple therapy, single parent support, housing matters, communication & conflict management, mediation",https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Families,"Casework,Counselling,Referral",Family,"casework, counselling, family, individual, social service, going through a divorce, need someone to talk to",,,,
Elderly services,NuLife Care & Counselling Services,"Suicide intervention, befriender services, handling elderly abuse, equipment for empowered living, tribunal for maintenance of parents, marriage enrichment counselling, grief and loss counselling, palliative and end-of-life care and support, depression, dementia.",https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Elderly,"Casework,Counselling,Referral","Elderly,Mental Health,End-of-Life","healthcare, elderly, dementia, caregivers, befriending, elderly has dementia and needs counselling, chronic health problems elderly, elderly cannot cope with dementia, elderly is alone and depressed, old person depression, father depression, mother depression, isolated senior needs befriending and visit, son has conflict with father, children are abusive to parents, don't know what to do with life, sad, depression",,,,
Children and youth services,NuLife Care & Counselling Services,"Children and youth services, particularly for at-risk youth and children. Includes suicide intervention, parent child mediation, handling beyond parental control, youth at risk services, befriender projects, workshops for probationers, services for children with special needs, and financial support for school pocket money and supplies.",https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,"Children,Youth-at-risk,Youth on probation","Casework,Befriender services,Educational programmes for youth at-risk","Children,Youth-at-Risk,Mental Health","Child is rebellous, child hit parent, youth bullying, youth, teenager, teenage angst, hard to control teenage child, cyberbullied, cyberbullying",,,,
Services for individuals,NuLife Care & Counselling Services,"Suicide intervention, emotional support, mid-career counselling, assessment of self-harm, depression, addiction counselling, gender identity issues, abusive relationships",https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,In need of mental healthcare,"Casework,Befriender services,Emotional care,Counselling",Mental Health,"counselling, psycho-therapy, mental health, suicidal thoughts",,,,
Legal Counselling,NuLife Care & Counselling Services,"Mediation and negotiation, deed of separation, application of personal protection order, divorce and ancillary legal matters, magistrate complaint, legal aid referral, small claim tribunal matters, maintenance, custody matters",https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,In need of legal aid,Legal services,Legal Aid,"Divorce, PPO, public protection order, legal, law",,,,
ONE Emergency Fund,ONE Singapore,"The ONE Emergency Fund disburses financial and in-kind assistance to low-income individuals and families who urgently need help. The fund was established to help individuals who need assistance, but cannot find it elsewhere, or cannot obtain it in time.",https://chidnast.sirv.com/SchemesSG/onesingapore.jpg,https://www.onesingapore.org/programmes,Low income,Financial assistance,Low Income,"Financial assistance, money for daily expenses, household needs, cash for daily needs, urgent assistance, Comcare",,,,
ONE Livelihoods Fund,ONE Singapore,"The ONE Livelihoods Fund promotes self-reliance, entrepreneurship and training to reduce inequalities and foster well-being for vulnerable individuals and families in Singapore. It supports the goal of Decent Work and enables workers and their families to earn their own livelihood or obtain better-paying employment.",https://chidnast.sirv.com/SchemesSG/onesingapore.jpg,https://www.onesingapore.org/programmes,"Low income, employment",Employment support,"Low income, employment",,,,,
ONE Fresh Food Programme,ONE Singapore,"The ONE Fresh Food Programme provides healthy and fresh groceries to families in need of assistance. Our volunteers purchase eggs, vegetables, fruit, fish, chicken and other healthy food items at neighbourhood stores, and deliver them to beneficiary families. Volunteers often purchase and deliver supermarket vouchers, too. Applicants apply for OFFP assistance via the ONE Emergency Fund.",https://chidnast.sirv.com/SchemesSG/onesingapore.jpg,https://www.onesingapore.org/programmes,"Low income,food,support",Food support,"Low income,food,support",,,,,
PAVE Integrated Services for Individual and Family Protection Specialist Centre,PAVE,"PAVE is an integrated service for family violence and child protection. PAVE provides services for persons who abuse, survivors and vulnerable family members such as children and the elderly in dealing with violence.",https://chidnast.sirv.com/SchemesSG/pave.jpg,https://pave.org.sg/our-services/,Facing abuse,Protection against violence,Family Violence,"Family violence, abusive spouse, husband hit, wife hit, hit my kid, protect my child from him",,,,
Pertapis Centre for Women and Girls,Pertapis,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,"Youth-at-risk,Women,Homeless","Housing,Educational programmes,Emotional care,Befriending","Abuse,Women,Children,Youth-at-Risk,Education","domestic abuse, abusive parents, need place to stay, violent father/mother, kick out of house, homeless teenager, homeless girl, shelter",,,,
Casework and Counselling,PPIS As-Salaam,"PPIS serves clients who face marital issues, family violence, child management, parenting concerns and other general concerns. PPIS As-Salaam has garnered 30 years of experience specializing in working with Malay/Muslim single parent families. Appointed by MSF as a Divorce Support Specialist Agency. It provides casework and counselling services for families facing issues related to divorce, such as divorce decision-making, achieving positive co-parenting and issues related to single parenting.",https://chidnast.sirv.com/SchemesSG/ppis.jpg,https://ppis.sg/family-counselling-and-therapy,"Malay/Muslim,Children,Single Parent,Families","Casework,Counselling",Families,"malay, muslim, family violence, abuse, divorce, single parent/father/mother, separation, child custody, family court, child support maintenance, argument over children, couple counselling, family quarrel, baby",,,,
Salaam,PPIS As-Salaam,"PPIS serves clients who face marital issues, family violence, child management, parenting concerns and other general concerns. PPIS As-Salaam has garnered 30 years of experience specializing in working with Malay/Muslim single parent families. Salaam is a support programme for children/adolescents who have experienced parental divorce or death.",https://chidnast.sirv.com/SchemesSG/ppis.jpg,https://ppis.sg/as-salaam,"Malay/Muslim,Children,Youth-at-risk","Counselling,Emotional care","Children,Youth-at-risk,Loss of Breadwinner","malay, muslim, children grief counselling, mother/father/parent just died, youth counseling, orphan, bereavement, death in the family, sudden death",,,,
Fostering Services,PPIS Oasis,"PPIS serves Malay/Muslim clients who face marital issues, family violence, child management, parenting concerns and other general concerns. PPIS Oasis – Centre for Fostering, is the third national fostering agency established in 2017, promoting family-based care of foster children in need.",https://chidnast.sirv.com/SchemesSG/ppis.jpg,https://ppis.sg/oasis,"Malay/Muslim,Children,Families,Youth-at-risk,Caregiver","Casework,Counselling,Emotional care,Educational programmes","Children,Family,Childcare,Caregiver,Youth-at-risk","malay, muslim, parenting, foster child, fostering, new child in family, adoption, bond with foster family, workshop",,,,
Remarriage Course,PPIS Vista Sakinah,"PPIS serves Malay/Muslim clients who face marital issues, family violence, child management, parenting concerns and other general concerns. PPIS Vista Sakinah specializes in preparing and strengthening remarriages. We collaborate with couples and families. We will guide you through the foundational aspects of your remarriage. Join us for the Program Memupuk Kasih™ or Nurturing Love Programme™ to discover insights on establishing a stable stepfamily.",https://chidnast.sirv.com/SchemesSG/ppis.jpg,https://ppis.sg/vistasakinah,"Malay/Muslim,Families","Emotional care,Educational Programmes","Caregiver,Children,Family,Childcare","malay, muslim, stepfamily, remarry, couple workshop, blended family, remarriage workshop, second marriage, adjust to new wife/husband, stepchildren, stepdaughter, stepson, new baby",,,,
Young Marriages,INSPIRASI PPIS,"PPIS serves Malay/Muslim clients who face marital issues, family violence, child management, parenting concerns and other general concerns. INSPIRASI PPIS is a hub that serves as one-stop centre to centralise the coordination and provision of the various programmes and services for minor couples who plan or eventually choose to marry.",https://chidnast.sirv.com/SchemesSG/ppis.jpg,https://ppis.sg/inspirasi,"Malay/Muslim,Families","Emotional care,Educational Programmes","Young Families,Family,Childcare","malay, muslim, stepfamily, remarry, couple workshop, blended family, remarriage workshop, second marriage, adjust to new wife/husband, stepchildren, stepdaughter, stepson, new baby",,,,
Family Enrichment,PPIS Vista Sakinah,"PPIS serves clients who face marital issues, family violence, child management, parenting concerns and other general concerns. PPIS Vista Sakinah specializes in preparing and strengthening remarriages. We collaborate with couples and families. Fitrah Enrichment offers stepfamilies various opportunities to learn knowledge and gain skills relevant to their lives in a stepfamily. It also provides a platform for family members to feel supported in the journey of establishing and sustaining a stepfamily. Couples needing a private consultation to address their unique family concerns can also approach us for free consultations with our trained counsellors.",https://chidnast.sirv.com/SchemesSG/ppis.jpg,https://ppis.sg/sym,"Malay/Muslim,Children,Families","Emotional care,Educational Programmes,Counselling","Caregiver,Children,Family,Childcare","malay, muslim, stepfamily, remarry, couple workshop, blended family, remarriage workshop, second marriage, adjust to new wife/husband, stepchildren, stepdaughter, stepson, new baby",,,,
Pregnancy Crisis and Support,Pregnancy Crisis and Support,"For emotional support, guidance, help and referrals that could facilitate a decision, whatever that decision may be.",https://chidnast.sirv.com/SchemesSG/pcs.jpg,https://www.pregnancycrisis.sg/Home,"Teenagers facing pregnancy,Pregnant individuals in distress,Youth-at-risk",Counselling for pregnancy crises,Youth-at-Risk,"Teenage Pregnancy, Pregnant, Young Mother, Baby, abortion",,,,
Various Services,Prison Fellowship Singapore,"Befriending services for families of inmates, group tuition and activities for children of inmates, and linking up of inmates' families to social service agencies as link families to social service agencies and home churches.",https://chidnast.sirv.com/SchemesSG/pfs.jpg,https://www.pfs.org.sg/family-care,"Ex-offenders,Families of ex-offenders","Casework,Emotional care,Befriender services,Educational programmes","Family,Children,Ex-offender,Low Income,Education","free tuition, children of ex-offender, children of ex-convict, bonding activities, support group, befriender",,,,
70 x 7,Prison Fellowship Singapore,"Runs community engagement and social work activities that are non-religious in nature. They include: 1-on-1 tuition programmes for youths and mentoring, short term financial support for needy families, and teaching life skills that strengthen family ties and increase emotional support to break the cycle of crime",https://chidnast.sirv.com/SchemesSG/pfs.jpg,https://www.70x7.sg/,"Ex-offenders,Families of Ex-offenders,Youth-at-risk","Financial assistance,Mentoring,Tuition","Ex-offender,Children,Youth,Education,Low Income","Need tuition for youth at risk, recalcitrant, family father go jail, mother go jail, children need guidance",,,,
Various Services,Rainbow Centre,"Rainbow Centre provides Early Intervention Programme, Special Education Programme for 7-18 years old, Connected Community Services for young adults with a disability, Family Life Services",https://chidnast.sirv.com/SchemesSG/rainbowcentre.jpg,https://www.rainbowcentre.org.sg/,"Young adults with disability,Persons with special needs",Educational programmes,"Family,Special Needs,Children","intellectually disabled, low IQ, mentally challenged, down syndrome, mentally retarded",,,,
Various Programmes and Services,Rare Disorders Society Singapore (RDSS),"Various financial support schemes for medical intervention, power supply, special formula foods, consumables and other services.",https://chidnast.sirv.com/SchemesSG/rdss.jpg,https://www.rdss.org.sg/programs-services/,Special needs children,"Financial assistance,Food",Healthcare,"Healthcare, rare disease, kids, no money to see doctor, unknown disease",,,,
Senior Service,REACH Community Services,"CREST SS @REACH runs a Caregiver Support Group to help caregivers of loved ones with dementia or depression to be better prepared at the earlier stage, to find more adaptive ways of coping when the going gets tough and to facilitate self-care. Our Care Circle runs on Saturday mornings on monthly basis. Elder-sitting service for seniors with mild to moderate dementia and depressive symptoms is available to free up caregivers to attend the support group.",https://chidnast.sirv.com/SchemesSG/reachcommsvc.jpg,https://reach.org.sg/services/senior-service/,Caregivers,"Emotional care,Mental health/mental heath support","Mental health,Caregiver,Elderly,Family,Healthcare","burnout, tired, lonely, taking care of, sole caregiver, no rest, dementia, elderly, special needs, disabled, depression, mental health, schizophrenia, mentally ill, alzheimer, self harm, respite, workshop, skills training, cannot afford, need to pay, medical bills, see doctor, hospital checkup, no time, caregiving",,,,
Family Service,REACH Community Services,"REACH Family Service is a community-based social service agency commissioned and funded by the Ministry of Social and Family Development. We serve vulnerable and low-income families and individuals residing in the Bishan, Sin Ming, Shunfu and Thomson vicinity. We collaborate with clients to harness their strengths and resources as well as to provide the support they need to face challenges and strengthen family bonds.",https://chidnast.sirv.com/SchemesSG/reachcommsvc.jpg,https://reach.org.sg/services/family-service/,Families,Councelling,"Low income, Family","casework, counselling, family, individual, social service",,,,
Counselling & Mental Health Service,REACH Community Services,"At REACH Counselling & Mental Health Service, we provide professional counselling services to help individuals, couples and families build better lives, enduring marriages and resilient families. We create a safe space to ask difficult questions, learn new skills and work through solutions to personal and relationship struggles we face daily.",https://chidnast.sirv.com/SchemesSG/reachcommsvc.jpg,https://reach.org.sg/services/counselling-service/,Families,"24 hour support for those in emotional distress,Emotional care",Mental Health,"casework, counselling, family, individual, social service",,,,
Youth Service,REACH Community Services,"At REACH Youth Service, we are committed to fostering a society that recognises and nurtures the inherent strengths and potential of every young person.",https://chidnast.sirv.com/SchemesSG/reachcommsvc.jpg,https://reach.org.sg/services/youth-service/,"Youth, Families",Counceling,"Mental Health, Family","casework, counselling, family, individual, social service",,,,
Various services,ReadAble,"Weekly reading and language arts classes for children ages 2 to 15 in a neighbourhood in the Chin Swee area, and a class teaching the predominantly migrant mothers of our students, functional English to navigate life in Singapore. ReadAble has built a community library of over a thousand books for our kids to freely access books at every reading level throughout the week. We also organise educational excursions to plays and museums, as well as connect kids’ families with community resources, such as school supply donations and workshops by professional educators. Through our BookDrop project, we set up conducive study spaces and mini-libraries in kids’ homes. Apart from our classes every Saturday, some volunteers run one-on-one classes with children in their homes across the week forming deep relationships with families.",https://chidnast.sirv.com/SchemesSG/readable.jpg,https://www.readablesg.com/,"Foreign wives,Children,Youth-at-Risk","Educational programme,Befriending","Foreign spouse,Foreign Workers,Children,Family,Women,Youth-at-Risk,Low Income,Education","help to learn english, free tuition/enrichment, free books, english class, maths class, improve exam results, rental flat, need english teacher volunteer, after school class",,,,
Family LifeAid,Red Cross Singapore,"Identified households receive food vouchers every month. Households will benefit from supplementary support, such as storytelling, tutoring of young children and helping the seniors with household chores. This will provide the opportunity for the children to advance in life. In addition, periodic reviews and assessments are carried out to monitor improvement or change in the family’s conditions, and to ensure that the dire needs of the families are met with the programme.",https://chidnast.sirv.com/SchemesSG/redcross.jpg,https://redcross.sg/meals-with-love.html#,"Low income,Need food support","Financial assistance,Food,Educational programmes","Low Income,Food,Education","needs help to get food, meal, hungry, have not eaten for days. Child needs tuition but no money. Need childcare. Elderly need help with household chores.",,,,
SOS Services,Samaritans of Singapore,"24-hour hotline in Singapore providing round the clock emotional support for those in distress. Follow-up for high suicide risk individuals. Counselling, immediate and long-term emotional support and a bereavement support group is available for individuals going through a suicide crisis or who have just experienced a suicide loss.",https://chidnast.sirv.com/SchemesSG/sos.jpg,https://www.sos.org.sg/about/our-services,"In need of mental healthcare,In need of emotional support,Individuals struggling with suicide,Lost someone to suicide","24 hour support for those in emotional distress,Emotional care,Bereavement support group",Mental Health,"Suicidal, want to kill myself, want to kill himself, want to kill herself, jump down the building",,,,
Casework,Serangoon Moral Family Service Centre,"Casework management for those facing financial difficulties, marital and couple issues, parenting and family issues, or have mental health needs",https://chidnast.sirv.com/SchemesSG/smfsc.jpg,https://smfsc.org.sg/casework/,"Parents,Families","Casework,Counselling,Referral","Low Income,Family","casework, counselling, family, individual, social service",,,,
Assistive Technology Fund,SG Enable,"Subsidies for persons with disabilities (PWDs) to purchase assistive technology devices to enable independent living.Successful applicants qualify for a means-tested subsidy of up to 90% of the cost of the required equipment, subject to a lifetime cap of $40,000.",https://chidnast.sirv.com/SchemesSG/sgenable.jpg,https://www.enablingguide.sg/im-looking-for-disability-support/assistive-technology/assistive-technology-fund,"PWDs,Caregivers",Financial assistance for assistive technology,"PWD,Transport,Tech","Need money to buy wheelchair, hearing aid, defribillator, nebuliser",,,,
Car Park Label Scheme For Persons With Physical Disabilities,SG Enable,Car Park Label Scheme provides persons with physical disabilities or their caregivers with access to designated disabled parking spaces so that they can open the vehicle doors fully to board or alight from the vehicle.,https://chidnast.sirv.com/SchemesSG/sgenable.jpg,https://www.enablingguide.sg/im-looking-for-disability-support/transport/car-park-label-scheme,"PWDs,Caregivers",Car park label for PWDs,"Elderly,Caregiver,Transport","Caregiver transporting elderly around, need convenient transport.",,,,
Developmental Disabilities Registry Identity (DDRID) Card,SG Enable,"The DDRID card offers a benefits scheme that provides cardholders with discounted rates for services and access to various facilities. Cardholders can also enjoy discounted rates for products, services and access to facilities offered by participating companies",https://chidnast.sirv.com/SchemesSG/sgenable.jpg,https://www.enablingguide.sg/im-looking-for-disability-support/child-adult-care,PWDs,Benefits like discounted rates and access to facilities for PWDs,PWD,"Discounts, disabled, PWD, persons with disabily",,,,
Disabled Persons Scheme,SG Enable,Waiver of Additional Registration Fee (ARF) and Certificate of Entitlement (COE) for persons with permanent physical disabilities who are medically certified as unable to take public transport (i.e. bus and/or MRT) and who require a vehicle to earn a living.,https://chidnast.sirv.com/SchemesSG/sgenable.jpg,https://www.enablingguide.sg/docs/default-source/default-document-library/faq-schemes-disabled-persons-scheme.pdf?sfvrsn=9a8a6dce_2,PWDs,Transport perks for PWDs,Healthcare,"Disabled, need to drive Grab, vehicle expensive, car COE too high, cannot take public transport",,,,
