,Scheme,Description,Agency,Image,Link,Who It's For,What It Gives,Scheme Type
1709,Family services,"Casework management and counselling including pre-marital counselling, marriage counselling, couple therapy, single parent support, housing matters, communication & conflict management, mediation",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Families,Casework,Family
1710,Family services,"Casework management and counselling including pre-marital counselling, marriage counselling, couple therapy, single parent support, housing matters, communication & conflict management, mediation",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Families,Counselling,Family
1711,Family services,"Casework management and counselling including pre-marital counselling, marriage counselling, couple therapy, single parent support, housing matters, communication & conflict management, mediation",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Families,Referral,Family
1712,Elderly services,"Suicide intervention, befriender services, handling elderly abuse, equipment for empowered living, tribunal for maintenance of parents, marriage enrichment counselling, grief and loss counselling, palliative and end-of-life care and support, depression, dementia.",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Elderly,Casework,Elderly
1713,Elderly services,"Suicide intervention, befriender services, handling elderly abuse, equipment for empowered living, tribunal for maintenance of parents, marriage enrichment counselling, grief and loss counselling, palliative and end-of-life care and support, depression, dementia.",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Elderly,Casework,Mental Health
1714,Elderly services,"Suicide intervention, befriender services, handling elderly abuse, equipment for empowered living, tribunal for maintenance of parents, marriage enrichment counselling, grief and loss counselling, palliative and end-of-life care and support, depression, dementia.",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Elderly,Casework,End-of-Life
1715,Elderly services,"Suicide intervention, befriender services, handling elderly abuse, equipment for empowered living, tribunal for maintenance of parents, marriage enrichment counselling, grief and loss counselling, palliative and end-of-life care and support, depression, dementia.",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Elderly,Counselling,Elderly
1716,Elderly services,"Suicide intervention, befriender services, handling elderly abuse, equipment for empowered living, tribunal for maintenance of parents, marriage enrichment counselling, grief and loss counselling, palliative and end-of-life care and support, depression, dementia.",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Elderly,Counselling,Mental Health
1717,Elderly services,"Suicide intervention, befriender services, handling elderly abuse, equipment for empowered living, tribunal for maintenance of parents, marriage enrichment counselling, grief and loss counselling, palliative and end-of-life care and support, depression, dementia.",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Elderly,Counselling,End-of-Life
1718,Elderly services,"Suicide intervention, befriender services, handling elderly abuse, equipment for empowered living, tribunal for maintenance of parents, marriage enrichment counselling, grief and loss counselling, palliative and end-of-life care and support, depression, dementia.",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Elderly,Referral,Elderly
1719,Elderly services,"Suicide intervention, befriender services, handling elderly abuse, equipment for empowered living, tribunal for maintenance of parents, marriage enrichment counselling, grief and loss counselling, palliative and end-of-life care and support, depression, dementia.",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Elderly,Referral,Mental Health
1720,Elderly services,"Suicide intervention, befriender services, handling elderly abuse, equipment for empowered living, tribunal for maintenance of parents, marriage enrichment counselling, grief and loss counselling, palliative and end-of-life care and support, depression, dementia.",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Elderly,Referral,End-of-Life
1721,Children and youth services,"Children and youth services, particularly for at-risk youth and children. Includes suicide intervention, parent child mediation, handling beyond parental control, youth at risk services, befriender projects, workshops for probationers, services for children with special needs, and financial support for school pocket money and supplies.",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Children,Casework,Children
1722,Children and youth services,"Children and youth services, particularly for at-risk youth and children. Includes suicide intervention, parent child mediation, handling beyond parental control, youth at risk services, befriender projects, workshops for probationers, services for children with special needs, and financial support for school pocket money and supplies.",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Children,Casework,Youth-at-Risk
1723,Children and youth services,"Children and youth services, particularly for at-risk youth and children. Includes suicide intervention, parent child mediation, handling beyond parental control, youth at risk services, befriender projects, workshops for probationers, services for children with special needs, and financial support for school pocket money and supplies.",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Children,Casework,Mental Health
1724,Children and youth services,"Children and youth services, particularly for at-risk youth and children. Includes suicide intervention, parent child mediation, handling beyond parental control, youth at risk services, befriender projects, workshops for probationers, services for children with special needs, and financial support for school pocket money and supplies.",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Children,Befriender services,Children
1725,Children and youth services,"Children and youth services, particularly for at-risk youth and children. Includes suicide intervention, parent child mediation, handling beyond parental control, youth at risk services, befriender projects, workshops for probationers, services for children with special needs, and financial support for school pocket money and supplies.",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Children,Befriender services,Youth-at-Risk
1726,Children and youth services,"Children and youth services, particularly for at-risk youth and children. Includes suicide intervention, parent child mediation, handling beyond parental control, youth at risk services, befriender projects, workshops for probationers, services for children with special needs, and financial support for school pocket money and supplies.",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Children,Befriender services,Mental Health
1727,Children and youth services,"Children and youth services, particularly for at-risk youth and children. Includes suicide intervention, parent child mediation, handling beyond parental control, youth at risk services, befriender projects, workshops for probationers, services for children with special needs, and financial support for school pocket money and supplies.",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Children,Educational programmes for youth-at-risk,Children
1728,Children and youth services,"Children and youth services, particularly for at-risk youth and children. Includes suicide intervention, parent child mediation, handling beyond parental control, youth at risk services, befriender projects, workshops for probationers, services for children with special needs, and financial support for school pocket money and supplies.",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Children,Educational programmes for youth-at-risk,Youth-at-Risk
1729,Children and youth services,"Children and youth services, particularly for at-risk youth and children. Includes suicide intervention, parent child mediation, handling beyond parental control, youth at risk services, befriender projects, workshops for probationers, services for children with special needs, and financial support for school pocket money and supplies.",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Children,Educational programmes for youth-at-risk,Mental Health
1730,Children and youth services,"Children and youth services, particularly for at-risk youth and children. Includes suicide intervention, parent child mediation, handling beyond parental control, youth at risk services, befriender projects, workshops for probationers, services for children with special needs, and financial support for school pocket money and supplies.",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Youth-at-risk,Casework,Children
1731,Children and youth services,"Children and youth services, particularly for at-risk youth and children. Includes suicide intervention, parent child mediation, handling beyond parental control, youth at risk services, befriender projects, workshops for probationers, services for children with special needs, and financial support for school pocket money and supplies.",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Youth-at-risk,Casework,Youth-at-Risk
1732,Children and youth services,"Children and youth services, particularly for at-risk youth and children. Includes suicide intervention, parent child mediation, handling beyond parental control, youth at risk services, befriender projects, workshops for probationers, services for children with special needs, and financial support for school pocket money and supplies.",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Youth-at-risk,Casework,Mental Health
1733,Children and youth services,"Children and youth services, particularly for at-risk youth and children. Includes suicide intervention, parent child mediation, handling beyond parental control, youth at risk services, befriender projects, workshops for probationers, services for children with special needs, and financial support for school pocket money and supplies.",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Youth-at-risk,Befriender services,Children
1734,Children and youth services,"Children and youth services, particularly for at-risk youth and children. Includes suicide intervention, parent child mediation, handling beyond parental control, youth at risk services, befriender projects, workshops for probationers, services for children with special needs, and financial support for school pocket money and supplies.",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Youth-at-risk,Befriender services,Youth-at-Risk
1735,Children and youth services,"Children and youth services, particularly for at-risk youth and children. Includes suicide intervention, parent child mediation, handling beyond parental control, youth at risk services, befriender projects, workshops for probationers, services for children with special needs, and financial support for school pocket money and supplies.",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Youth-at-risk,Befriender services,Mental Health
1736,Children and youth services,"Children and youth services, particularly for at-risk youth and children. Includes suicide intervention, parent child mediation, handling beyond parental control, youth at risk services, befriender projects, workshops for probationers, services for children with special needs, and financial support for school pocket money and supplies.",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Youth-at-risk,Educational programmes for youth-at-risk,Children
1737,Children and youth services,"Children and youth services, particularly for at-risk youth and children. Includes suicide intervention, parent child mediation, handling beyond parental control, youth at risk services, befriender projects, workshops for probationers, services for children with special needs, and financial support for school pocket money and supplies.",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Youth-at-risk,Educational programmes for youth-at-risk,Youth-at-Risk
1738,Children and youth services,"Children and youth services, particularly for at-risk youth and children. Includes suicide intervention, parent child mediation, handling beyond parental control, youth at risk services, befriender projects, workshops for probationers, services for children with special needs, and financial support for school pocket money and supplies.",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Youth-at-risk,Educational programmes for youth-at-risk,Mental Health
1739,Services for individuals,"Suicide intervention, emotional support, mid-career counselling, assessment of self-harm, depression, addiction counselling, gender identity issues, abusive relationships",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Mental health needs,Casework,Mental Health
1740,Services for individuals,"Suicide intervention, emotional support, mid-career counselling, assessment of self-harm, depression, addiction counselling, gender identity issues, abusive relationships",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Mental health needs,Befriender services,Mental Health
1741,Services for individuals,"Suicide intervention, emotional support, mid-career counselling, assessment of self-harm, depression, addiction counselling, gender identity issues, abusive relationships",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Mental health needs,Emotional care,Mental Health
1742,Services for individuals,"Suicide intervention, emotional support, mid-career counselling, assessment of self-harm, depression, addiction counselling, gender identity issues, abusive relationships",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Mental health needs,Counselling,Mental Health
1743,Legal Counselling,"Mediation and negotiation, deed of separation, application of personal protection order, divorce and ancillary legal matters, magistrate complaint, legal aid referral, small claim tribunal matters, maintenance, custody matters",NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/counselling/,Need legal aid,Legal services,Legal Aid
1744,COVID-19 Assistance,Information on various financial assistance schemes to help relieve the impact of COVID-19. Food assistance for those who require help in preparing cooked meals.,NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/covid-our-efforts/,Elderly,Referral,COVID-19
1745,COVID-19 Assistance,Information on various financial assistance schemes to help relieve the impact of COVID-19. Food assistance for those who require help in preparing cooked meals.,NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/covid-our-efforts/,Elderly,Referral,Food
1746,COVID-19 Assistance,Information on various financial assistance schemes to help relieve the impact of COVID-19. Food assistance for those who require help in preparing cooked meals.,NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/covid-our-efforts/,Elderly,Food,COVID-19
1747,COVID-19 Assistance,Information on various financial assistance schemes to help relieve the impact of COVID-19. Food assistance for those who require help in preparing cooked meals.,NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/covid-our-efforts/,Elderly,Food,Food
1748,COVID-19 Assistance,Information on various financial assistance schemes to help relieve the impact of COVID-19. Food assistance for those who require help in preparing cooked meals.,NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/covid-our-efforts/,Families,Referral,COVID-19
1749,COVID-19 Assistance,Information on various financial assistance schemes to help relieve the impact of COVID-19. Food assistance for those who require help in preparing cooked meals.,NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/covid-our-efforts/,Families,Referral,Food
1750,COVID-19 Assistance,Information on various financial assistance schemes to help relieve the impact of COVID-19. Food assistance for those who require help in preparing cooked meals.,NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/covid-our-efforts/,Families,Food,COVID-19
1751,COVID-19 Assistance,Information on various financial assistance schemes to help relieve the impact of COVID-19. Food assistance for those who require help in preparing cooked meals.,NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/covid-our-efforts/,Families,Food,Food
1752,COVID-19 Assistance,Information on various financial assistance schemes to help relieve the impact of COVID-19. Food assistance for those who require help in preparing cooked meals.,NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/covid-our-efforts/,Low income,Referral,COVID-19
1753,COVID-19 Assistance,Information on various financial assistance schemes to help relieve the impact of COVID-19. Food assistance for those who require help in preparing cooked meals.,NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/covid-our-efforts/,Low income,Referral,Food
1754,COVID-19 Assistance,Information on various financial assistance schemes to help relieve the impact of COVID-19. Food assistance for those who require help in preparing cooked meals.,NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/covid-our-efforts/,Low income,Food,COVID-19
1755,COVID-19 Assistance,Information on various financial assistance schemes to help relieve the impact of COVID-19. Food assistance for those who require help in preparing cooked meals.,NuLife Care & Counselling Services,https://chidnast.sirv.com/SchemesSG/nulife.jpg,https://nulife.com.sg/covid-our-efforts/,Low income,Food,Food
1756,COVID-19 Support,Various support and relief measures for OCBC account holders and customers,OCBC,https://chidnast.sirv.com/SchemesSG/ocbc.jpg,https://www.ocbc.com/group/covid19-support/index.html,In debt,Debt assistance,COVID-19
1757,COVID-19 Support,Various support and relief measures for OCBC account holders and customers,OCBC,https://chidnast.sirv.com/SchemesSG/ocbc.jpg,https://www.ocbc.com/group/covid19-support/index.html,In debt,Debt assistance,Debt
1758,Emergency Fund,"Disburses money to assist low-income individuals and families in Singapore who urgently need help. The fund was established to help individuals who need assistance, but cannot find it elsewhere, or cannot obtain it in time.",ONE Singapore,https://chidnast.sirv.com/SchemesSG/onesingapore.jpg,http://onesingapore.org/take-action/emergency-fund/,Low income,Financial assistance,Low Income
1759,PAVE Integrated Services for Individual and Family Protection Specialist Centre,"PAVE is an integrated service for family violence and child protection. PAVE provides services for persons who abuse, survivors and vulnerable family members such as children and the elderly in dealing with violence.",PAVE,https://chidnast.sirv.com/SchemesSG/pave.jpg,https://www.pave.org.sg/our-services-isifpsc.php,Facing abuse,Protection against violence,Family Violence
1760,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Youth-at-risk,Housing,Abuse
1761,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Youth-at-risk,Housing,Women
1762,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Youth-at-risk,Housing,Children
1763,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Youth-at-risk,Housing,Youth-at-Risk
1764,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Youth-at-risk,Housing,Education
1765,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Youth-at-risk,Educational programmes,Abuse
1766,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Youth-at-risk,Educational programmes,Women
1767,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Youth-at-risk,Educational programmes,Children
1768,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Youth-at-risk,Educational programmes,Youth-at-Risk
1769,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Youth-at-risk,Educational programmes,Education
1770,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Youth-at-risk,Emotional care,Abuse
1771,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Youth-at-risk,Emotional care,Women
1772,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Youth-at-risk,Emotional care,Children
1773,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Youth-at-risk,Emotional care,Youth-at-Risk
1774,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Youth-at-risk,Emotional care,Education
1775,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Youth-at-risk,Befriending,Abuse
1776,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Youth-at-risk,Befriending,Women
1777,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Youth-at-risk,Befriending,Children
1778,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Youth-at-risk,Befriending,Youth-at-Risk
1779,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Youth-at-risk,Befriending,Education
1780,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Women,Housing,Abuse
1781,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Women,Housing,Women
1782,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Women,Housing,Children
1783,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Women,Housing,Youth-at-Risk
1784,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Women,Housing,Education
1785,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Women,Educational programmes,Abuse
1786,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Women,Educational programmes,Women
1787,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Women,Educational programmes,Children
1788,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Women,Educational programmes,Youth-at-Risk
1789,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Women,Educational programmes,Education
1790,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Women,Emotional care,Abuse
1791,Pertapis Centre for Women and Girls,"Provides residential care for young women victim of abuse, coming from dysfunctional families or in conflict with the law. The centre offers shelter, care and protection to 100 women from 14 to 21 years old. We run a variety of programs to facilitate self development, confidence building & life skills development.",Pertapis,https://chidnast.sirv.com/SchemesSG/pertapis.jpg,https://www.pertapis.org.sg/welfare-homes,Women,Emotional care,Women
